_LINE,_FIVETRAN_SYNCED,QUARTER,LATITUDE,CUSTOMER_ID,GENDER,TECH_SUPPORT,SENIOR_CITIZEN,STREAMING_TV,ZIP_CODE,INTERNET_SERVICE,BIRTH_DATE,PAYMENT_METHOD,CHURN_REASON,PARTNER,DEVICE_PROTECTION,TOTAL_CHARGES,CHURN_LABEL,MULTIPLE_LINES,ONLINE_BACKUP,CITY,PAPERLESS_BILLING,LONGITUDE,MONTHLY_CHARGES,ONLINE_SECURITY,DEPENDENTS,PHONE_SERVICE,CLTV,STATE,COUNTRY_CODE,DATE_JOINED,STREAMING_MOVIES,CONTRACT,TENURE_MONTHS
4758,2025-10-29 13:44:01.846 Z,2023Q2,-77956,9938-ZREHM,Female,Yes,No,No,55111,DSL,1978-09-15 00:00:00.000 Z,Mailed check,,Yes,No,1297.8,No,Yes,Yes,Yogyakarta,No,1103695,72.1,No,No,Yes,2595.6,DI Yogyakarta,ID,2023-06-22 00:00:00.000 Z,Yes,One year,18
2115,2025-10-29 13:44:01.553 Z,2024Q3,-29909,9385-EHGDO,Female,No internet service,No,No internet service,30111,No,1968-01-01 00:00:00.000 Z,Mailed check,,Yes,No internet service,99.25,No,No,No internet service,Palembang,Yes,1047567,19.85,No internet service,Yes,Yes,99.25,Sumatera Selatan,ID,2024-07-17 00:00:00.000 Z,No internet service,Two year,5
3842,2025-10-29 13:44:01.756 Z,2020Q1,35952,4531-AUZNK,Female,Yes,No,Yes,20111,Fiber optic,1971-06-24 00:00:00.000 Z,Mailed check,,Yes,No,5518.7,No,Yes,No,Medan,Yes,986722,95.15,Yes,Yes,Yes,27593.5,Sumatera Utara,ID,2020-03-10 00:00:00.000 Z,No,One year,58
3212,2025-10-29 13:44:01.690 Z,2023Q3,-62088,1663-MHLHE,Male,No internet service,No,No internet service,10110,No,1985-02-18 00:00:00.000 Z,Mailed check,,No,No internet service,326.4,No,No,No internet service,Jakarta,No,1068456,19.2,No internet service,No,Yes,652.8,DKI Jakarta,ID,2023-07-20 00:00:00.000 Z,No internet service,Month-to-month,17
1040,2025-10-29 13:44:01.356 Z,2024Q1,-12379,3815-SLMEF,Female,Yes,No,No,76113,DSL,2000-01-06 00:00:00.000 Z,Mailed check,Competitor offered higher download speeds,No,No,342.5,Yes,No phone service,No,Balikpapan,No,1168523,34.25,Yes,No,No,342.5,Kalimantan Timur,ID,2024-03-03 00:00:00.000 Z,No,Month-to-month,10
90,2025-10-29 13:44:01.097 Z,2020Q3,-12379,0219-YTZUE,Male,No,No,No,76113,Fiber optic,2005-08-03 00:00:00.000 Z,Bank transfer (automatic),Don't know,Yes,Yes,4409.6,Yes,Yes,Yes,Balikpapan,Yes,1168523,84.8,No,No,Yes,22048,Kalimantan Timur,ID,2020-09-22 00:00:00.000 Z,No,Month-to-month,52
5354,2025-10-29 13:44:01.903 Z,2022Q2,-77956,8979-CAMGB,Male,Yes,Yes,Yes,55111,Fiber optic,1955-08-03 00:00:00.000 Z,Electronic check,,No,Yes,3369.3,No,Yes,No,Yogyakarta,No,1103695,102.1,No,No,Yes,1.01079e+16,DI Yogyakarta,ID,2022-04-02 00:00:00.000 Z,Yes,One year,33
5702,2025-10-29 13:44:01.939 Z,2021Q3,-62088,7096-ZNBZI,Female,No internet service,No,No internet service,10110,No,1972-12-01 00:00:00.000 Z,Credit card (automatic),,Yes,No internet service,1110.9,No,Yes,No internet service,Jakarta,No,1068456,26.45,No internet service,No,Yes,4443.6,DKI Jakarta,ID,2021-07-05 00:00:00.000 Z,No internet service,Two year,42
1956,2025-10-29 13:44:01.521 Z,2023Q3,-69667,5256-SKJGO,Female,Yes,No,Yes,50135,DSL,1966-06-11 00:00:00.000 Z,Electronic check,,Yes,No,873.6,No,No phone service,Yes,Semarang,Yes,1104167,54.6,No,No,No,1747.2,Jawa Tengah,ID,2023-08-22 00:00:00.000 Z,Yes,Two year,16
4627,2025-10-29 13:44:01.835 Z,2025Q1,-51477,5789-LDFXO,Male,No internet service,No,No internet service,90111,No,2004-07-13 00:00:00.000 Z,Electronic check,,No,No internet service,-24.6,No,Yes,No internet service,Makassar,No,1194327,24.6,No internet service,No,Yes,-24.6,Sulawesi Selatan,ID,2025-01-20 00:00:00.000 Z,No internet service,One year,-1
3031,2025-10-29 13:44:01.662 Z,2021Q4,-12379,0993-OSGPT,Female,Yes,Yes,No,76113,DSL,1953-06-16 00:00:00.000 Z,Bank transfer (automatic),,Yes,Yes,2304.7,No,No,Yes,Balikpapan,Yes,1168523,60.65,No,No,Yes,6.91409999999999e+15,Kalimantan Timur,ID,2021-10-30 00:00:00.000 Z,No,One year,38
4438,2025-10-29 13:44:01.816 Z,2025Q2,-29909,7801-KICAO,Female,No,No,No,30111,Fiber optic,1967-06-22 00:00:00.000 Z,Electronic check,,No,No,-370.75,No,Yes,No,Palembang,Yes,1047567,74.15,No,No,Yes,-370.75,Sumatera Selatan,ID,2025-05-25 00:00:00.000 Z,No,Month-to-month,-5
700,2025-10-29 13:44:01.291 Z,2025Q1,-86705,9462-MJUAW,Male,No,No,No,80114,DSL,1990-11-14 00:00:00.000 Z,Mailed check,Service dissatisfaction,No,No,-100.8,Yes,Yes,No,Denpasar,No,1152126,50.4,No,No,Yes,-100.8,Bali,ID,2025-02-03 00:00:00.000 Z,No,Month-to-month,-2
2435,2025-10-29 13:44:01.591 Z,2024Q1,-29909,8224-IVVPA,Female,No,No,No,30111,DSL,1964-04-21 00:00:00.000 Z,Mailed check,,No,No,623.7,No,No,Yes,Palembang,Yes,1047567,56.7,Yes,No,Yes,623.7,Sumatera Selatan,ID,2024-01-15 00:00:00.000 Z,No,Month-to-month,11
1775,2025-10-29 13:44:01.497 Z,2022Q1,-62088,7359-SSBJK,Female,Yes,Yes,Yes,10110,DSL,1950-12-30 00:00:00.000 Z,Credit card (automatic),Lack of affordable download/upload speed,No,No,2386.8,Yes,No,Yes,Jakarta,Yes,1068456,70.2,Yes,No,Yes,7.1604e+15,DKI Jakarta,ID,2022-03-12 00:00:00.000 Z,No,Two year,34
3182,2025-10-29 13:44:01.681 Z,2020Q4,-69667,5605-XNWEN,Male,No internet service,Yes,No internet service,50135,No,1947-09-23 00:00:00.000 Z,Bank transfer (automatic),,Yes,No internet service,1225,No,Yes,No internet service,Semarang,Yes,1104167,25,No internet service,No,Yes,4900,Jawa Tengah,ID,2020-12-07 00:00:00.000 Z,No internet service,Two year,49
3023,2025-10-29 13:44:01.661 Z,2025Q2,-77956,4751-ERMAN,Male,No,No,Yes,55111,DSL,1979-05-31 00:00:00.000 Z,Bank transfer (automatic),,Yes,Yes,-377,No,No,Yes,Yogyakarta,Yes,1103695,75.4,No,No,Yes,-377,DI Yogyakarta,ID,2025-05-04 00:00:00.000 Z,Yes,Two year,-5
6304,2025-10-29 13:44:01.995 Z,2021Q2,-69667,4770-QAZXN,Female,No internet service,No,No internet service,50135,No,1983-06-03 00:00:00.000 Z,Credit card (automatic),,No,No internet service,836.35,No,No,No internet service,Semarang,No,1104167,19.45,No internet service,No,Yes,3345.4,Jawa Tengah,ID,2021-06-13 00:00:00.000 Z,No internet service,Month-to-month,43
5694,2025-10-29 13:44:01.933 Z,2020Q1,-62088,7570-WELNY,Female,No,No,No,10110,Fiber optic,1978-08-31 00:00:00.000 Z,Bank transfer (automatic),,Yes,No,4997.3,No,Yes,Yes,Jakarta,Yes,1068456,84.7,Yes,No,Yes,24986.5,DKI Jakarta,ID,2020-02-20 00:00:00.000 Z,No,Two year,59
6618,2025-10-29 13:44:02.023 Z,2025Q2,-69175,4868-AADLV,Male,Yes,Yes,Yes,40111,Fiber optic,1941-01-05 00:00:00.000 Z,Electronic check,,Yes,Yes,-465,No,Yes,Yes,Bandung,Yes,1076191,116.25,Yes,Yes,Yes,-465,Jawa Barat,ID,2025-04-06 00:00:00.000 Z,Yes,One year,-4
1666,2025-10-29 13:44:01.477 Z,2021Q1,-77956,1597-LHYNC,Female,No,Yes,No,55111,Fiber optic,1935-06-21 00:00:00.000 Z,Electronic check,Price too high,No,No,4465,Yes,Yes,Yes,Yogyakarta,Yes,1103695,95,Yes,No,Yes,17860,DI Yogyakarta,ID,2021-02-12 00:00:00.000 Z,Yes,Month-to-month,47
2586,2025-10-29 13:44:01.606 Z,2025Q2,-69667,5651-YLPRD,Female,No,No,Yes,50135,Fiber optic,1967-09-28 00:00:00.000 Z,Electronic check,,Yes,No,-516.6,No,No,Yes,Semarang,Yes,1104167,86.1,No,Yes,Yes,-516.6,Jawa Tengah,ID,2025-06-09 00:00:00.000 Z,No,Month-to-month,-6
5527,2025-10-29 13:44:01.921 Z,2023Q3,-29909,4486-EFAEB,Male,No internet service,No,No internet service,30111,No,1986-05-15 00:00:00.000 Z,Electronic check,,No,No internet service,306,No,No,No internet service,Palembang,Yes,1047567,20.4,No internet service,No,Yes,612,Sumatera Selatan,ID,2023-09-24 00:00:00.000 Z,No internet service,Month-to-month,15
5543,2025-10-29 13:44:01.922 Z,2021Q3,-86705,8595-SIZNC,Female,No internet service,Yes,No internet service,80114,No,1934-09-22 00:00:00.000 Z,Bank transfer (automatic),,Yes,No internet service,1024,No,Yes,No internet service,Denpasar,No,1152126,25.6,No internet service,No,Yes,4096,Bali,ID,2021-09-18 00:00:00.000 Z,No internet service,One year,40
6463,2025-10-29 13:44:02.006 Z,2024Q2,-62088,3428-MMGUB,Male,No,No,Yes,10110,Fiber optic,2003-02-13 00:00:00.000 Z,Electronic check,,No,Yes,716.4,No,Yes,No,Jakarta,Yes,1068456,89.55,No,No,Yes,716.4,DKI Jakarta,ID,2024-04-10 00:00:00.000 Z,No,Two year,8
5362,2025-10-29 13:44:01.904 Z,2021Q1,-69667,8748-HFWBO,Male,No internet service,No,No internet service,50135,No,1996-04-26 00:00:00.000 Z,Mailed check,,Yes,No internet service,935.3,No,No,No internet service,Semarang,No,1104167,19.9,No internet service,Yes,Yes,3741.2,Jawa Tengah,ID,2021-01-23 00:00:00.000 Z,No internet service,One year,47
2602,2025-10-29 13:44:01.617 Z,2020Q2,-12379,2604-XVDAM,Female,No,No,No,76113,DSL,1981-04-22 00:00:00.000 Z,Bank transfer (automatic),,No,No,2409,No,No,No,Balikpapan,No,1168523,43.8,No,No,Yes,12045,Kalimantan Timur,ID,2020-06-25 00:00:00.000 Z,No,Month-to-month,55
3321,2025-10-29 13:44:01.700 Z,2020Q4,-12379,7967-HYCDE,Male,No,No,No,76113,Fiber optic,1976-09-28 00:00:00.000 Z,Bank transfer (automatic),,No,No,3605.7,No,No,No,Balikpapan,No,1168523,70.7,No,No,Yes,18028.5,Kalimantan Timur,ID,2020-10-07 00:00:00.000 Z,No,Month-to-month,51
1825,2025-10-29 13:44:01.509 Z,2022Q3,-12379,7234-FECYN,Female,No,Yes,Yes,76113,Fiber optic,1941-09-03 00:00:00.000 Z,Electronic check,Attitude of support person,No,Yes,2939.15,Yes,Yes,No,Balikpapan,No,1168523,101.35,No,No,Yes,8817.45,Kalimantan Timur,ID,2022-08-03 00:00:00.000 Z,Yes,Month-to-month,29
4577,2025-10-29 13:44:01.826 Z,2022Q1,-62088,6257-RJOHI,Male,Yes,No,No,10110,DSL,1964-06-07 00:00:00.000 Z,Mailed check,,No,No,1727.2,No,No,No,Jakarta,Yes,1068456,50.8,No,No,Yes,5181.6,DKI Jakarta,ID,2022-02-18 00:00:00.000 Z,No,Month-to-month,34
5223,2025-10-29 13:44:01.893 Z,2020Q1,35952,1385-TQOZW,Female,No internet service,No,No internet service,20111,No,1978-10-25 00:00:00.000 Z,Credit card (automatic),,No,No internet service,1186.1,No,No,No internet service,Medan,Yes,986722,20.45,No internet service,No,Yes,5930.5,Sumatera Utara,ID,2020-03-14 00:00:00.000 Z,No internet service,Month-to-month,58
5064,2025-10-29 13:44:01.875 Z,2022Q3,-69667,5325-UWTWJ,Male,Yes,No,No,50135,Fiber optic,1999-11-08 00:00:00.000 Z,Credit card (automatic),,Yes,No,2625.95,No,Yes,Yes,Semarang,Yes,1104167,90.55,Yes,No,Yes,7.87784999999999e+15,Jawa Tengah,ID,2022-08-13 00:00:00.000 Z,No,Month-to-month,29
569,2025-10-29 13:44:01.265 Z,2024Q2,-69667,0524-IAVZO,Female,No,No,No,50135,Fiber optic,1995-06-04 00:00:00.000 Z,Electronic check,Don't know,Yes,No,680,Yes,Yes,No,Semarang,Yes,1104167,85,No,No,Yes,680,Jawa Tengah,ID,2024-04-25 00:00:00.000 Z,Yes,Month-to-month,8
3808,2025-10-29 13:44:01.755 Z,2025Q1,-72575,5315-CKEQK,Male,No,Yes,No,60119,DSL,1949-10-14 00:00:00.000 Z,Electronic check,,Yes,No,-51,No,Yes,No,Surabaya,Yes,1127521,51,No,Yes,Yes,-51,Jawa Timur,ID,2025-01-01 00:00:00.000 Z,No,One year,-1
6479,2025-10-29 13:44:02.007 Z,2024Q3,-51477,3278-FSIXX,Female,No,No,No,90111,DSL,2006-11-01 00:00:00.000 Z,Mailed check,,No,No,226.25,No,No,No,Makassar,Yes,1194327,45.25,No,No,Yes,226.25,Sulawesi Selatan,ID,2024-07-18 00:00:00.000 Z,No,Month-to-month,5
1346,2025-10-29 13:44:01.419 Z,2023Q2,-77956,2982-VPSGI,Female,No,No,Yes,55111,Fiber optic,1985-06-09 00:00:00.000 Z,Electronic check,Competitor made better offer,Yes,No,1786,Yes,Yes,No,Yogyakarta,Yes,1103695,94,No,No,Yes,3572,DI Yogyakarta,ID,2023-05-19 00:00:00.000 Z,Yes,Month-to-month,19
5048,2025-10-29 13:44:01.874 Z,2024Q3,-69667,8908-NMQTX,Male,Yes,No,Yes,50135,DSL,1966-08-13 00:00:00.000 Z,Bank transfer (automatic),,No,Yes,196.8,No,No phone service,Yes,Semarang,Yes,1104167,65.6,Yes,No,No,196.8,Jawa Tengah,ID,2024-09-08 00:00:00.000 Z,Yes,Two year,3
410,2025-10-29 13:44:01.235 Z,2020Q2,-51477,1157-BQCUW,Male,No,No,No,90111,Fiber optic,1978-07-28 00:00:00.000 Z,Electronic check,Attitude of service provider,No,No,4122.25,Yes,Yes,No,Makassar,Yes,1194327,74.95,No,No,Yes,20611.25,Sulawesi Selatan,ID,2020-05-30 00:00:00.000 Z,No,Month-to-month,55
561,2025-10-29 13:44:01.264 Z,2020Q2,-12379,0925-VYDLG,Female,No,No,No,76113,Fiber optic,1979-09-23 00:00:00.000 Z,Electronic check,Attitude of service provider,No,No,4214,Yes,Yes,No,Balikpapan,No,1168523,75.25,No,No,Yes,21070,Kalimantan Timur,ID,2020-05-17 00:00:00.000 Z,No,Month-to-month,56
3816,2025-10-29 13:44:01.756 Z,2024Q1,-72575,9018-PCIOK,Female,No,No,No,60119,DSL,1976-05-28 00:00:00.000 Z,Mailed check,,No,Yes,712.25,No,No,Yes,Surabaya,Yes,1127521,64.75,No,No,Yes,712.25,Jawa Timur,ID,2024-02-05 00:00:00.000 Z,Yes,Two year,11
3792,2025-10-29 13:44:01.749 Z,2025Q1,-77956,5837-LXSDN,Female,No,No,Yes,55111,DSL,1986-08-23 00:00:00.000 Z,Credit card (automatic),,Yes,No,-176.55,No,No,Yes,Yogyakarta,Yes,1103695,58.85,No,Yes,Yes,-176.55,DI Yogyakarta,ID,2025-03-14 00:00:00.000 Z,No,One year,-3
3313,2025-10-29 13:44:01.700 Z,2020Q3,-69175,0701-RFGFI,Female,No,No,Yes,40111,Fiber optic,1976-12-14 00:00:00.000 Z,Bank transfer (automatic),,Yes,No,5056.2,No,Yes,No,Bandung,Yes,1076191,95.4,No,Yes,Yes,25281,Jawa Barat,ID,2020-08-03 00:00:00.000 Z,Yes,Month-to-month,53
4728,2025-10-29 13:44:01.845 Z,2020Q4,-69667,8104-OSKWT,Female,No,No,No,50135,Fiber optic,1989-04-28 00:00:00.000 Z,Electronic check,,No,No,3910.2,No,Yes,No,Semarang,Yes,1104167,79.8,Yes,No,Yes,15640.8,Jawa Tengah,ID,2020-11-25 00:00:00.000 Z,No,Month-to-month,49
4593,2025-10-29 13:44:01.827 Z,2020Q3,-86705,7032-LMBHI,Female,No,No,Yes,80114,DSL,1969-11-06 00:00:00.000 Z,Bank transfer (automatic),,No,No,3361.8,No,Yes,No,Denpasar,No,1152126,64.65,Yes,No,Yes,16809,Bali,ID,2020-09-22 00:00:00.000 Z,No,One year,52
5207,2025-10-29 13:44:01.892 Z,2020Q4,-72575,6578-KRMAW,Male,No,No,No,60119,Fiber optic,1980-08-23 00:00:00.000 Z,Credit card (automatic),,No,Yes,4670,No,No,Yes,Surabaya,Yes,1127521,93.4,Yes,No,Yes,18680,Jawa Timur,ID,2020-10-31 00:00:00.000 Z,Yes,Month-to-month,50
6189,2025-10-29 13:44:01.979 Z,2021Q4,-77956,9214-EKVXR,Female,No,No,No,55111,DSL,1985-10-17 00:00:00.000 Z,Mailed check,,No,No,1628,No,No,No,Yogyakarta,Yes,1103695,44,No,No,Yes,4884,DI Yogyakarta,ID,2021-11-28 00:00:00.000 Z,No,Month-to-month,37
5984,2025-10-29 13:44:01.960 Z,2023Q3,-69667,1707-HABPF,Female,No,Yes,Yes,50135,Fiber optic,1948-01-14 00:00:00.000 Z,Bank transfer (automatic),,No,Yes,1369.5,No,No,Yes,Semarang,Yes,1104167,91.3,No,No,Yes,2739,Jawa Tengah,ID,2023-09-19 00:00:00.000 Z,No,One year,15
3081,2025-10-29 13:44:01.666 Z,2024Q1,-69175,9469-WEJBT,Male,Yes,No,No,40111,Fiber optic,2005-08-19 00:00:00.000 Z,Electronic check,,Yes,Yes,1084.2,No,No,No,Bandung,Yes,1076191,90.35,No,No,Yes,1084.2,Jawa Barat,ID,2024-01-04 00:00:00.000 Z,Yes,Month-to-month,12
4569,2025-10-29 13:44:01.826 Z,2022Q3,-51477,6878-GGDWG,Female,No internet service,No,No internet service,90111,No,1966-08-13 00:00:00.000 Z,Bank transfer (automatic),,Yes,No internet service,523.8,No,No,No internet service,Makassar,No,1194327,19.4,No internet service,No,Yes,1.57139999999999e+16,Sulawesi Selatan,ID,2022-09-14 00:00:00.000 Z,No internet service,Month-to-month,27
2610,2025-10-29 13:44:01.618 Z,2021Q2,-86705,7277-KAMWT,Male,No internet service,No,No internet service,80114,No,1967-07-31 00:00:00.000 Z,Credit card (automatic),,No,No internet service,860,No,No,No internet service,Denpasar,No,1152126,20,No internet service,No,Yes,3440,Bali,ID,2021-05-28 00:00:00.000 Z,No internet service,Two year,43
5849,2025-10-29 13:44:01.950 Z,2024Q1,-77956,2589-AYCRP,Female,No internet service,No,No internet service,55111,No,1998-12-14 00:00:00.000 Z,Bank transfer (automatic),,No,No internet service,177.75,No,No,No internet service,Yogyakarta,No,1103695,19.75,No internet service,No,Yes,177.75,DI Yogyakarta,ID,2024-03-17 00:00:00.000 Z,No internet service,One year,9
394,2025-10-29 13:44:01.223 Z,2020Q1,-72575,2667-WYLWJ,Female,No internet service,No,No internet service,60119,No,1971-05-11 00:00:00.000 Z,Mailed check,Competitor offered higher download speeds,Yes,No internet service,1165.25,Yes,No,No internet service,Surabaya,Yes,1127521,19.75,No internet service,No,Yes,5826.25,Jawa Timur,ID,2020-02-12 00:00:00.000 Z,No internet service,One year,59
990,2025-10-29 13:44:01.341 Z,2020Q2,-51477,5960-WPXQM,Male,No,No,Yes,90111,Fiber optic,1978-06-29 00:00:00.000 Z,Electronic check,Lack of self-service on Website,No,No,4426.8,Yes,No,No,Makassar,Yes,1194327,79.05,No,No,Yes,22134,Sulawesi Selatan,ID,2020-05-15 00:00:00.000 Z,No,Month-to-month,56
2131,2025-10-29 13:44:01.554 Z,2025Q2,-69667,4115-NZRKS,Female,No,Yes,Yes,50135,Fiber optic,1944-01-02 00:00:00.000 Z,Electronic check,,No,No,-445.75,No,No,No,Semarang,Yes,1104167,89.15,No,No,Yes,-445.75,Jawa Tengah,ID,2025-05-25 00:00:00.000 Z,Yes,Month-to-month,-5
5519,2025-10-29 13:44:01.921 Z,2022Q2,-29909,3703-KBKZP,Male,No,Yes,No,30111,Fiber optic,1959-12-17 00:00:00.000 Z,Bank transfer (automatic),,No,No,2382.4,No,Yes,No,Palembang,Yes,1047567,74.45,No,No,Yes,7.1472e+15,Sumatera Selatan,ID,2022-04-18 00:00:00.000 Z,No,Month-to-month,32
5678,2025-10-29 13:44:01.932 Z,2020Q1,-86705,4801-KFYKL,Male,No internet service,No,No internet service,80114,No,1983-12-20 00:00:00.000 Z,Bank transfer (automatic),,No,No internet service,1167,No,No,No internet service,Denpasar,No,1152126,19.45,No internet service,Yes,Yes,5835,Bali,ID,2020-01-17 00:00:00.000 Z,No internet service,Month-to-month,60
2107,2025-10-29 13:44:01.552 Z,2021Q4,-72575,9880-TDQAC,Female,Yes,No,Yes,60119,DSL,1982-07-08 00:00:00.000 Z,Electronic check,,Yes,Yes,2280,No,No phone service,Yes,Surabaya,Yes,1127521,60,No,No,No,6840,Jawa Timur,ID,2021-11-11 00:00:00.000 Z,Yes,Two year,38
2536,2025-10-29 13:44:01.603 Z,2022Q1,-86705,0730-KOAVE,Male,No,No,No,80114,Fiber optic,1971-04-13 00:00:00.000 Z,Credit card (automatic),,No,No,3394.8,No,Yes,Yes,Denpasar,Yes,1152126,94.3,Yes,No,Yes,1.01844e+16,Bali,ID,2022-01-03 00:00:00.000 Z,Yes,Month-to-month,36
1940,2025-10-29 13:44:01.520 Z,2022Q2,35952,7233-PAHHL,Male,Yes,No,Yes,20111,DSL,2004-10-31 00:00:00.000 Z,Mailed check,,Yes,Yes,2604,No,Yes,No,Medan,Yes,986722,84,Yes,No,Yes,7812,Sumatera Utara,ID,2022-05-23 00:00:00.000 Z,Yes,Two year,31
6022,2025-10-29 13:44:01.967 Z,2021Q1,35952,4291-HYEBC,Female,No,Yes,No,20111,DSL,1939-05-02 00:00:00.000 Z,Electronic check,,Yes,No,1798.6,No,No phone service,Yes,Medan,Yes,986722,39.1,No,Yes,No,7194.4,Sumatera Utara,ID,2021-02-27 00:00:00.000 Z,Yes,One year,46
511,2025-10-29 13:44:01.259 Z,2025Q2,-12379,3948-XHGNA,Male,No,No,No,76113,DSL,1964-07-01 00:00:00.000 Z,Bank transfer (automatic),Attitude of support person,No,No,-198.2,Yes,No,No,Balikpapan,Yes,1168523,49.55,Yes,No,Yes,-198.2,Kalimantan Timur,ID,2025-04-25 00:00:00.000 Z,No,Month-to-month,-4
5072,2025-10-29 13:44:01.875 Z,2021Q1,-29909,5792-JALQC,Female,No,Yes,No,30111,DSL,1959-08-15 00:00:00.000 Z,Bank transfer (automatic),,No,Yes,2872.8,No,Yes,No,Palembang,No,1047567,59.85,Yes,No,Yes,11491.2,Sumatera Selatan,ID,2021-01-19 00:00:00.000 Z,No,Two year,48
3653,2025-10-29 13:44:01.737 Z,2021Q3,-69175,6901-GOGZG,Male,Yes,No,Yes,40111,DSL,1966-02-27 00:00:00.000 Z,Electronic check,,No,Yes,3398,No,Yes,No,Bandung,Yes,1076191,84.95,Yes,Yes,Yes,13592,Jawa Barat,ID,2021-09-10 00:00:00.000 Z,Yes,Two year,40
982,2025-10-29 13:44:01.340 Z,2022Q4,-12379,2645-QTLMB,Male,No,No,Yes,76113,Fiber optic,1975-03-13 00:00:00.000 Z,Electronic check,Network reliability,No,No,2356.25,Yes,No,Yes,Balikpapan,Yes,1168523,94.25,No,No,Yes,4712.5,Kalimantan Timur,ID,2022-11-20 00:00:00.000 Z,Yes,Month-to-month,25
